,client,status,CAMICIA,SCARPA ALTA INVERNALE M,PILE ARANCIO,SCARPA ALTA  HARD,SCARPA ALTA ASFALTISTA,PANTALONE LAVORO L,GIUBBETTO,SCARPA ALTA INVERNALE S,STIVALE,SCARPA ALTA STONE S,PILE S,PANTALONE LAVORO M,ELMETTO,PANTALONE JEANS M,SCARPA ALTA STONE M,PILE L,PILE ALTA VISIBILITA',SCARPA BASSA,MAGLIETTA,SCARPA ALTA INVERNALE XL,SCARPA ALTA INVERNALE L,FELPA,SCARPA ALTA STONE L,PANTALONE LAVORO S,PANTALONE ARANCIO,PANTALONE,PANTALONE JEANS S,SCARPA ASFALTISTA,TUTA,SCARPA BASSA STRONG,SCARPA ALTA SCOTLAND,PANTALONE JEANS L
140,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,FI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
142,CO,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
145,CO,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,CO,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
147,CO,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,4,0,0,2,0,1,0,0,4,0,0,0
148,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,CO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
